flow_type,customs_office,product,partner,value
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",600
export,La Rochelle,autres produits,Afrique,7175
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",2610
export,La Rochelle,autres produits,Afrique,900
export,La Rochelle,autres produits,Afrique,1975
export,La Rochelle,autres produits,Afrique,1389
export,La Rochelle,autres produits,Afrique,847
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",3283
export,La Rochelle,autres produits,Afrique,3664
export,La Rochelle,autres produits,Afrique,234
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",140
export,La Rochelle,autres produits,Afrique,67021
export,La Rochelle,autres produits,Afrique,8664
export,La Rochelle,autres produits,Afrique,788
export,La Rochelle,autres produits,Afrique,1260
export,La Rochelle,autres produits,Afrique,1604
export,La Rochelle,autres produits,Afrique,738
